reflat;reflon;refFloor;refRoom;cpslat;cpslon;cpsFloor;cpsRoom;pressure;error;scantime;wifis...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55.711227;13.210289;0;point4;55.71124;13.21074;0;;1000.83;28.28912587;03.04.2019 15:19;wifi=a8:bd:27:24:ea:91,,-88;70:3a:0e:9b:56:e1,,-86;a8:bd:27:24:ea:90,,-84;a8:bd:27:24:ea:92,,-84;70:3a:0e:a7:82:01,,-84;70:3a:0e:a7:87:10,,-81;70:3a:0e:a7:87:12,,-81;70:3a:0e:a7:87:11,,-80;b4:5d:50:ea:ab:c2,,-77;b4:5d:50:ea:ab:c0,,-76;b4:5d:50:ea:ab:c1,,-75;70:3a:0e:a7:8a:01,,-74;b4:5d:50:ea:ab:d1,,-70;b4:5d:50:ea:ab:d0,,-70;b4:5d:50:ea:ab:d2,,-70;06:d6:aa:09:e4:e6,,-37;;;;;;;;;;;;;;;;;;;
55.711227;13.210289;0;point4;55.7113;13.21112;0;;1000.84;52.6854981;03.04.2019 15:19;wifi=a8:bd:27:24:ea:90,,-88;a8:bd:27:24:ea:91,,-88;a8:bd:27:24:e7:a1,,-88;70:3a:0e:9b:54:21,,-85;70:3a:0e:a7:82:01,,-84;70:3a:0e:a7:87:11,,-81;70:3a:0e:a7:87:10,,-81;70:3a:0e:a7:87:12,,-80;70:3a:0e:a7:87:01,,-78;70:3a:0e:a7:87:00,,-77;06:d6:aa:09:e4:e6,,-39;;;;;;;;;;;;;;;;;;;;;;;;
55.711227;13.210371;0;point4;55.71125;13.2109;0;;1000.81;33.23684646;03.04.2019 15:19;wifi=a8:bd:27:24:ea:90,,-88;a8:bd:27:24:ea:91,,-88;a8:bd:27:24:e7:a1,,-88;7c:d1:c3:cb:38:a0,,-87;54:e4:3a:ec:ca:24,,-86;70:3a:0e:9b:54:21,,-85;0c:80:63:e7:4b:68,,-85;70:3a:0e:a7:8a:02,,-82;70:3a:0e:9b:5c:c1,,-80;70:3a:0e:9b:5c:d1,,-79;70:3a:0e:9b:5c:d0,,-79;70:3a:0e:a7:82:00,,-79;70:3a:0e:9b:5c:d2,,-79;70:3a:0e:a7:87:11,,-68;70:3a:0e:a7:87:10,,-68;70:3a:0e:a7:87:12,,-68;70:3a:0e:a7:87:01,,-68;70:3a:0e:a7:87:00,,-67;70:3a:0e:a7:87:02,,-67;06:d6:aa:09:e4:e6,,-37;;;;;;;;;;;;;;;
55.711259;13.210404;0;point5;55.71131;13.211;0;;1000.81;37.7634907;03.04.2019 15:19;wifi=70:3a:0e:a7:8a:01,,-86;ac:7f:3e:ec:15:ea,,-85;b4:5d:50:ea:ca:81,,-84;0c:80:63:e7:4b:68,,-84;70:3a:0e:9b:5a:01,,-82;70:3a:0e:a7:87:12,,-81;70:3a:0e:9b:5c:d0,,-81;70:3a:0e:9b:5c:d2,,-81;70:3a:0e:a7:87:11,,-80;70:3a:0e:a7:87:10,,-80;70:3a:0e:9b:5c:d1,,-80;b4:5d:50:01:cc:00,,-79;b4:5d:50:01:cc:01,,-79;b4:5d:50:01:cc:02,,-79;70:3a:0e:9b:5c:c1,,-73;70:3a:0e:a7:87:01,,-71;70:3a:0e:a7:87:00,,-70;06:d6:aa:09:e4:e6,,-36;;;;;;;;;;;;;;;;;
55.71131;13.210403;0;point5;55.71133;13.21083;0;;1000.81;26.84084644;03.04.2019 15:19;wifi=70:3a:0e:a7:87:11,,-88;70:3a:0e:a7:87:10,,-88;70:3a:0e:a7:87:12,,-87;70:3a:0e:9b:56:e1,,-86;ac:7f:3e:ec:15:ea,,-85;b4:5d:50:ea:ca:81,,-84;0c:80:63:e7:4b:68,,-84;70:3a:0e:9b:5a:01,,-82;70:3a:0e:a7:87:01,,-71;70:3a:0e:a7:87:00,,-70;70:3a:0e:9b:5c:d1,,-67;70:3a:0e:9b:5c:d0,,-67;70:3a:0e:9b:5c:d2,,-67;06:d6:aa:09:e4:e6,,-42;;;;;;;;;;;;;;;;;;;;;
55.711362;13.210403;0;point5;55.71145;13.21074;0;;1000.83;23.26825226;03.04.2019 15:19;wifi=0c:80:63:e7:4b:67,,-89;70:3a:0e:a7:87:11,,-88;70:3a:0e:a7:87:10,,-88;70:3a:0e:a7:87:12,,-87;b4:5d:50:ea:ca:81,,-84;0c:80:63:e7:4b:68,,-80;70:3a:0e:9b:56:e1,,-76;70:3a:0e:9b:5a:01,,-72;70:3a:0e:9b:5a:00,,-72;70:3a:0e:9b:5a:02,,-72;70:3a:0e:9b:5c:d1,,-67;70:3a:0e:9b:5c:d0,,-67;70:3a:0e:9b:5c:d2,,-67;06:d6:aa:09:e4:e6,,-41;;;;;;;;;;;;;;;;;;;;;
55.711413;13.210403;0;point5;55.71148;13.2108;0;;1000.83;25.96128924;03.04.2019 15:20;wifi=0c:80:63:e7:4b:67,,-89;70:3a:0e:a7:8a:d0,,-86;70:3a:0e:a7:8a:d1,,-86;70:3a:0e:a7:8a:d2,,-86;b4:5d:50:05:28:01,,-82;70:3a:0e:a7:8a:c1,,-81;0c:80:63:e7:4b:68,,-80;b4:5d:50:ea:ca:81,,-79;70:3a:0e:9b:56:e1,,-76;70:3a:0e:9b:5a:01,,-72;70:3a:0e:9b:5a:00,,-72;70:3a:0e:9b:5a:02,,-72;06:d6:aa:09:e4:e6,,-37;;;;;;;;;;;;;;;;;;;;;;
55.711465;13.210402;0;point5;55.71152;13.21084;0;;1000.83;28.11078899;03.04.2019 15:20;wifi=70:3a:0e:a7:8a:d1,,-87;70:3a:0e:a7:8a:d2,,-86;70:3a:0e:a7:8a:d0,,-85;b4:5d:50:05:28:01,,-84;b4:5d:50:ea:b5:41,,-84;b4:5d:50:ea:ca:81,,-80;70:3a:0e:a7:8a:c1,,-75;70:3a:0e:a7:8a:c0,,-73;06:d6:aa:09:e4:e6,,-41;;;;;;;;;;;;;;;;;;;;;;;;;;
55.711516;13.210402;0;point5;55.71157;13.21073;0;;1000.83;21.406173;03.04.2019 15:20;wifi=b4:5d:50:05:28:01,,-87;70:3a:0e:a7:8a:d0,,-87;70:3a:0e:9b:4d:c1,,-87;70:3a:0e:a7:8a:d1,,-86;70:3a:0e:a7:8a:d2,,-86;b4:5d:50:ea:b5:41,,-82;b4:5d:50:ea:ca:81,,-80;70:3a:0e:9a:6f:01,,-80;70:3a:0e:a7:8a:c1,,-75;70:3a:0e:a7:8a:c0,,-73;b4:5d:50:ea:ca:80,,-69;b4:5d:50:ea:ca:82,,-69;06:d6:aa:09:e4:e6,,-41;;;;;;;;;;;;;;;;;;;;;;
55.711557;13.210401;0;point6;55.71171;13.21056;0;;1000.78;19.71410954;03.04.2019 15:20;wifi=70:3a:0e:9a:71:30,,-88;b4:5d:50:ea:7f:d0,,-87;b4:5d:50:ea:7f:d1,,-87;b4:5d:50:ea:7f:d2,,-87;70:3a:0e:9a:71:31,,-87;70:3a:0e:9a:71:32,,-87;70:3a:0e:9a:6f:01,,-86;b4:5d:50:05:28:01,,-85;b4:5d:50:ea:c1:71,,-84;b4:5d:50:ea:c1:70,,-84;b4:5d:50:ea:c1:72,,-84;b4:5d:50:ea:7f:c1,,-81;70:3a:0e:9b:4d:c1,,-79;70:3a:0e:9b:4d:c0,,-79;7c:d1:c3:cb:3e:fb,,-76;7c:d1:c3:cb:3e:fa,,-69;b4:5d:50:ea:ca:82,,-55;b4:5d:50:ea:ca:80,,-54;b4:5d:50:ea:ca:81,,-50;06:d6:aa:09:e4:e6,,-38;;;;;;;;;;;;;;;
55.711557;13.210486;0;point6;55.71168;13.21073;1;;1000.78;20.51041904;03.04.2019 15:20;wifi=b4:5d:50:ea:b2:d1,,-89;70:3a:0e:9a:71:30,,-88;b4:5d:50:ea:b2:d2,,-88;b4:5d:50:ea:7f:d0,,-87;70:3a:0e:9a:71:31,,-87;70:3a:0e:9a:71:32,,-87;70:3a:0e:9a:6f:01,,-86;b4:5d:50:ea:7f:d1,,-86;b4:5d:50:ea:7f:d2,,-86;b4:5d:50:ea:c1:71,,-82;b4:5d:50:ea:c1:70,,-82;b4:5d:50:ea:c1:72,,-82;70:3a:0e:9a:75:00,,-82;b4:5d:50:ea:7f:c1,,-81;70:3a:0e:9b:4d:c0,,-79;70:3a:0e:9b:4d:c1,,-78;b4:5d:50:ea:c1:60,,-76;b4:5d:50:ea:c1:61,,-76;b4:5d:50:ea:c1:62,,-76;7c:d1:c3:cb:3e:fb,,-74;7c:d1:c3:cb:3e:fa,,-69;b4:5d:50:ea:ca:80,,-58;b4:5d:50:ea:ca:82,,-58;b4:5d:50:ea:ca:81,,-57;06:d6:aa:09:e4:e6,,-35;;;;;;;;;;
55.711557;13.210572;0;point6;55.71166;13.21089;0;;1000.84;22.97787249;03.04.2019 15:20;wifi=b4:5d:50:ea:b2:d1,,-89;70:3a:0e:9a:71:30,,-88;b4:5d:50:ea:b2:d2,,-88;70:3a:0e:9a:71:31,,-87;70:3a:0e:9a:71:32,,-87;70:3a:0e:9a:75:31,,-87;70:3a:0e:9a:75:00,,-82;b4:5d:50:ea:7f:d1,,-80;b4:5d:50:ea:7f:d0,,-79;b4:5d:50:ea:7f:d2,,-79;70:3a:0e:9a:71:21,,-79;70:3a:0e:9b:4d:c1,,-78;b4:5d:50:ea:7f:c1,,-78;b4:5d:50:ea:7f:c0,,-78;70:3a:0e:9a:71:20,,-77;b4:5d:50:ea:7f:c2,,-77;b4:5d:50:ea:c1:60,,-76;b4:5d:50:ea:c1:62,,-76;70:3a:0e:9a:71:22,,-76;b4:5d:50:05:28:11,,-74;b4:5d:50:05:28:10,,-74;7c:d1:c3:cb:3e:fb,,-73;b4:5d:50:ea:c1:71,,-72;b4:5d:50:ea:c1:70,,-72;b4:5d:50:ea:c1:72,,-72;b4:5d:50:ea:ae:c0,,-72;b4:5d:50:ea:ae:c2,,-71;b4:5d:50:ea:ca:81,,-70;b4:5d:50:ea:ca:80,,-70;b4:5d:50:ea:ca:82,,-70;b4:5d:50:ea:ae:c1,,-70;b4:5d:50:ea:c1:61,,-65;06:d6:aa:09:e4:e6,,-36;;
